"gene_symbol","n_diseases","mean_score","max_score","ensembl_id","entrez_id","uniprot_ids","protein_classes","diseases","total_pmids","mean_evidence","years_studied"
"GSK3B",3,0.85,0.9,"ENSG00000082701",2932,"Q6FI27; P49841","Kinase","Bipolar Disorders; Schizophrenias; Depression",12,0.869852235862173,"2004-2019"
"HCRT",1,0.85,0.85,"ENSG00000161610",3060,"O43612","","Depression",5,0.888888888888889,"2013-2014"
"HSPA1A",1,0.85,0.85,"ENSG00000204389",3303,"A8K5I0; B3KTT5; P0DMV9; P0DMV8","","Schizophrenias",4,1,"2007-2014"
"HTR6",1,0.85,0.85,"ENSG00000158748",3362,"P50406","G-protein coupled receptor","Schizophrenias",1,0.821428571428571,"2002-2002"
"IL1A",1,0.85,0.85,"ENSG00000115008",3552,"P01583","","Depression",4,1,"2010-2013"
"KCNK2",1,0.85,0.85,"ENSG00000082482",3776,"Q6ZW95; O95069; U3N6F0; U3N834","Ion channel","Depression",6,1,"2008-2011"
"MIR30E",1,0.85,0.85,"ENSG00000198974",407034,"","","Schizophrenias",1,1,"2010-2010"
"MTOR",1,0.85,0.85,"ENSG00000198793",2475,"A0A8V8TQ52; P42345","Kinase","Schizophrenias",1,1,"2011-2011"
"NLGN3",1,0.85,0.85,"ENSG00000196338",54413,"X5D7L6; X5D2P6; Q6MZK0; B7Z3P8; Q9NZ94; X5DNV3; A0A8I5KSB7; Q4G160; A0A8I5QJH8","","Childhood autism",2,1,"2003-2008"
"NR3C2",1,0.85,0.85,"ENSG00000151623",4306,"P08235; B0ZBF6","Nuclear receptor","Depression",5,0.928571428571429,"2011-2015"
"OXTR",3,0.85,0.85,"ENSG00000180914",5021,"P30559; B2R9L7","G-protein coupled receptor","Childhood autism; Depression; Schizophrenias",12,0.865512265512265,"2004-2014"
"PNOC",1,0.85,0.85,"ENSG00000168081",5368,"Q13519","Signaling","Depression",3,1,"2007-2009"
"SLC25A12",1,0.85,0.85,"ENSG00000115840",8604,"O75746","Transporter","Childhood autism",2,0.823529411764706,"2004-2008"
"SRR",1,0.85,0.85,"ENSG00000167720",63826,"Q3ZK31; Q9GZT4; Q8N3F4","Enzyme","Schizophrenias",3,0.861111111111111,"2007-2013"
"UBE3A",1,0.85,0.85,"ENSG00000114062",7337,"Q05086; Q9H2G0","","Childhood autism",4,0.94,"2001-2021"
"ANK3",3,0.833333333333333,0.95,"ENSG00000151150",288,"Q8NAK2; Q12955","","Bipolar Disorders; Schizophrenias; Childhood autism",13,0.958590534979424,"2008-2021"
"CHRNA7",3,0.833333333333333,1,"ENSG00000175344",1139,"P36544","Ion channel","Schizophrenias; Bipolar Disorders; Childhood autism",8,0.928030303030303,"2004-2014"
"HTR2C",3,0.833333333333333,0.95,"ENSG00000147246",3358,"P28335; K9J958","G-protein coupled receptor","Schizophrenias; Bipolar Disorders; Depression",13,0.811507936507937,"2009-2014"
"NR3C1",3,0.833333333333333,0.95,"ENSG00000113580",2908,"E5KQF5; F1D8N4; E5KQF6; P04150","Nuclear receptor","Depression; Bipolar Disorders; Schizophrenias",13,0.879666687842788,"2004-2015"
"DISC1",5,0.83,1,"ENSG00000162946",27185,"C4P0C8; C4P0A4; C4P096; C4P094; C4P0D1; C4P0C4; C4P098; Q9NRI5; C4P0D2; C4P0A5; C4P0D3; C4P0D0","","Schizophrenias; Bipolar Disorders; Childhood autism; Depression; Anxiety Disorder",16,0.94162510170151,"2008-2018"
"BRD1",2,0.825,0.9,"ENSG00000100425",23774,"Q59G93; O95696","","Schizophrenias; Bipolar Disorders",8,0.928571428571429,"2006-2012"
"CRP",2,0.825,0.85,"ENSG00000132693",1401,"P02741","","Schizophrenias; Anxiety Disorder",3,0.842105263157895,"2007-2010"
"CXCL8",2,0.825,0.85,"ENSG00000169429",3576,"P10145","Signaling","Bipolar Disorders; Depression",6,0.943681318681319,"2007-2015"
"CYP2D6",2,0.825,0.85,"ENSG00000100197",1565,"C1ID52; P10635; Q5Y7H2","","Schizophrenias; Depression",6,0.821875,"2010-2013"
"MTHFR",4,0.825,0.95,"ENSG00000177000",4524,"P42898; Q59GJ6; Q8IU67","","Schizophrenias; Bipolar Disorders; Depression; Childhood autism",17,0.740681734824867,"2006-2015"
"NEFL",2,0.825,0.85,"ENSG00000277586",4747,"P07196","","Schizophrenias; Bipolar Disorders",4,0.75,"2004-2007"
"NCAM1",3,0.816666666666667,0.85,"ENSG00000149294",4684,"A0A087WWD4; P13591","","Schizophrenias; Bipolar Disorders; Depression",11,0.966666666666667,"2004-2015"
"OPRM1",3,0.816666666666667,0.95,"ENSG00000112038",4988,"G8XRH4; L0E130; B8K2Q5; G8XRH5; P35372","G-protein coupled receptor","Schizophrenias; Depression; Post-traumatic stress disorder",7,0.885198135198135,"NA-NA"
"GRIN2A",4,0.8125,0.95,"ENSG00000183454",2903,"Q547U9; A0A890YTL4; Q12879; Q59EW6","Ion channel","Bipolar Disorders; Schizophrenias; Depression; Childhood autism",13,0.975705329153605,"2005-2019"
"HTR1A",4,0.8125,1,"ENSG00000178394",3350,"A8K5W4; Q5ZGX3; P08908","G-protein coupled receptor","Depression; Schizophrenias; Anxiety Disorder; Bipolar Disorders",10,0.90879917184265,"NA-NA"
"NTRK2",4,0.8125,0.9,"ENSG00000148053",4915,"A0A8I5KR47; Q5VWE5; Q548C2; Q16620","Kinase","Schizophrenias; Depression; Childhood autism; Bipolar Disorders",10,0.954545454545455,"2008-2015"
"SLC6A3",4,0.8125,0.9,"ENSG00000142319",6531,"Q01959","Transporter","Schizophrenias; Depression; Bipolar Disorders; Anxiety Disorder",12,0.9024642863033,"2006-2014"
"CACNA1C",5,0.81,0.95,"ENSG00000151067",775,"Q59GU3; F5H522; Q5V9X9; E9PDI6; A0A804HIJ8; A0A804HI37; A0A804HKC4; A0A804HJB6; A0A0A0MR67; Q13936; A0A0A0MSA1","Ion channel","Bipolar Disorders; Schizophrenias; Childhood autism; Depression; Anxiety Disorder",18,0.937805383022774,"2004-2019"
"ADSL",1,0.8,0.8,"ENSG00000239900",158,"X5D8S6; P30566; X5D7W4","Enzyme","Childhood autism",1,1,"2004-2004"
"AS3MT",1,0.8,0.8,"ENSG00000214435",57412,"Q9HBK9","Enzyme","Schizophrenias",1,0.9,"2016-2016"
"C4B",1,0.8,0.8,"ENSG00000224389",721,"P0C0L4; P0C0L5","Enzyme modulator","Childhood autism",2,0.8,"2005-2010"
"CHRNA3",1,0.8,0.8,"ENSG00000080644",1136,"P32297","Ion channel","Schizophrenias",1,0.957446808510638,"2010-2010"
"CLOCK",3,0.8,0.85,"ENSG00000134852",9575,"O15516; Q3ZCT4; Q53EU0","","Schizophrenias; Bipolar Disorders; Depression",11,0.922502805836139,"2011-2015"
"CNTNAP2",3,0.8,1,"ENSG00000174469",26047,"Q9UHC6; B2RCH4; A0A090N7T7","","Schizophrenias; Childhood autism; Bipolar Disorders",6,0.916493416493417,"2008-2011"
"COX2",1,0.8,0.8,"",4513,"P00403; U5Z487","Enzyme","Depression",5,1,"2009-2013"
"CYFIP1",2,0.8,0.85,"ENSG00000273749",23191,"Q7L576","Enzyme modulator","Schizophrenias; Childhood autism",2,0.972222222222222,"2014-2021"
"CYP1A2",1,0.8,0.8,"ENSG00000140505",1544,"P05177","Enzyme","Schizophrenias",1,0.857142857142857,"2010-2010"
"DGKH",1,0.8,0.8,"ENSG00000102780",160851,"A8K0I1; Q86XP1; B4DYW1","Kinase","Bipolar Disorders",5,0.954545454545455,"2011-2015"
"ERBB4",2,0.8,1,"ENSG00000178568",2066,"Q15303","Kinase","Schizophrenias; Bipolar Disorders",9,0.929235537190083,"2007-2014"
"FKBP5",2,0.8,0.85,"ENSG00000096060",2289,"Q13451; Q2TA84","Enzyme","Depression; Bipolar Disorders",7,0.794405594405594,"2009-2014"
"FMR1",3,0.8,1,"ENSG00000102081",2332,"Q06787","Nucleic acid binding","Childhood autism; Anxiety Disorder; Schizophrenias",8,0.834768781477769,"1998-2017"
"GRIN3A",2,0.8,0.85,"ENSG00000198785",116443,"Q8TCU5","Ion channel","Schizophrenias; Bipolar Disorders",4,0.981958762886598,"2004-2013"
"GRM2",1,0.8,0.8,"ENSG00000164082",2912,"Q14416","G-protein coupled receptor","Schizophrenias",1,0.910714285714286,"2008-2008"
"HOXA1",1,0.8,0.8,"ENSG00000105991",3198,"P49639","","Childhood autism",1,0.636363636363636,"2000-2000"
"HP",2,0.8,0.8,"ENSG00000257017",3240,"P00738; A0A0C4DGL8; Q6PEJ8","","Depression; Schizophrenias",3,0.923076923076923,"1985-2008"
"IL10",2,0.8,0.95,"ENSG00000136634",3586,"Q6FGW4; P22301","","Schizophrenias; Childhood autism",5,0.921052631578947,"2006-2014"
"IQSEC2",1,0.8,0.8,"ENSG00000124313",23096,"Q5JU85","","Childhood autism",1,1,"2021-2021"
"LRP8",1,0.8,0.8,"ENSG00000157193",7804,"Q14114","","Schizophrenias",1,1,"2012-2012"
"MBP",1,0.8,0.8,"ENSG00000197971",4155,"P02686","","Schizophrenias",3,0.931034482758621,"2009-2014"
"MIR137",2,0.8,0.85,"ENSG00000284202",406928,"","","Schizophrenias; Bipolar Disorders",3,0.981927710843373,"2011-2014"
"NBEA",1,0.8,0.8,"ENSG00000172915",26960,"Q8NFP9; B3KXQ8","","Childhood autism",5,1,"2003-2021"
"NDEL1",1,0.8,0.8,"ENSG00000166579",81565,"A6NIZ0; Q9GZM8","","Schizophrenias",3,0.944444444444444,"2010-2014"
"NRG1",3,0.8,0.9,"ENSG00000157168",3084,"Q7RTW5; A5YAK6; A0A494C1F5; A0A494C0K4; A6MW55; E5RHP6; Q7RTW3; A0A024QY88; B7Z1D7; A0A494C0Q4; A5YAK8; B0FYA8; A0A494C1B5; A0A494C114; Q6PK61; A0A494C0L9; A0A494C1F8; B0FYA9; B0FWZ3; B0FYA7; B7Z1E3; A6MW54; A6MW56; Q02297; E3SFM9","Signaling","Schizophrenias; Bipolar Disorders; Depression",14,0.93900462962963,"2002-2014"
"OPRK1",1,0.8,0.8,"ENSG00000082556",4986,"A0A5F9ZI09; P41145","G-protein coupled receptor","Depression",5,0.967741935483871,"2007-2015"
"QKI",1,0.8,0.8,"ENSG00000112531",9444,"Q8WY44; Q96PU8","Nucleic acid binding","Schizophrenias",4,0.888888888888889,"2006-2014"
"SLC12A5",1,0.8,0.8,"ENSG00000124140",57468,"Q9H2X9","Transporter","Schizophrenias",2,0.916666666666667,"2011-2012"
"TAAR1",1,0.8,0.8,"ENSG00000146399",134864,"Q96RJ0","G-protein coupled receptor","Schizophrenias",1,0.944444444444444,"2013-2013"
"TBX1",1,0.8,0.8,"ENSG00000184058",6899,"Q152R5; D9ZGG0; O43435","Transcription factor","Schizophrenias",5,0.9,"2008-2014"
"TSC1",1,0.8,0.8,"ENSG00000165699",7248,"A0A2R8Y5S3; X5D9D2; Q92574; Q86WV8; Q32NF0","","Childhood autism",1,1,"2007-2007"
"TSC2",1,0.8,0.8,"ENSG00000103197",7249,"H3BMQ0; P49815; Q5HYF7; X5D7Q2; B3KWH7","Enzyme modulator","Childhood autism",1,0.928571428571429,"2003-2003"
"VRK2",1,0.8,0.8,"ENSG00000028116",7444,"Q86Y07; A8K9L2","Kinase","Schizophrenias",2,1,"2011-2012"
"DTNBP1",3,0.8,0.95,"ENSG00000047579",84062,"Q96EV8; D6RJC6; A0A087WYP9; A0A0S2Z5U8; A6NFV8","","Schizophrenias; Bipolar Disorders; Depression",10,0.906859205776173,"2008-2013"
"GFAP",3,0.8,0.85,"ENSG00000131095",2670,"P14136","","Depression; Schizophrenias; Bipolar Disorders",6,0.846393762183236,"2002-2015"
"IFNG",4,0.7875,0.85,"ENSG00000111537",3458,"A0A7R8GUN6; P01579","","Depression; Schizophrenias; Bipolar Disorders; Childhood autism",6,0.911805555555556,"2006-2014"
"DAOA",3,0.783333333333333,0.9,"ENSG00000182346",267012,"A2T115; P59103","","Schizophrenias; Bipolar Disorders; Depression",6,0.792478632478632,"NA-NA"
"IGF1",3,0.783333333333333,0.9,"ENSG00000017427",3479,"Q5U743; Q59GC5; P05019; Q13429","","Depression; Childhood autism; Bipolar Disorders",8,0.861952861952862,"2007-2015"
"LEP",3,0.783333333333333,0.85,"ENSG00000174697",3952,"P41159; A4D0Y8","","Depression; Schizophrenias; Childhood autism",8,0.919801570897065,"2005-2015"
"POMC",3,0.783333333333333,0.9,"ENSG00000115138",5443,"P01189","","Depression; Bipolar Disorders; Childhood autism",10,0.862037037037037,"1985-2015"
"MAOA",5,0.78,0.85,"ENSG00000189221",4128,"Q53YE7; P21397; Q49A63","","Childhood autism; Depression; Schizophrenias; Attention Deficit Disorder with Hyperactivity; Bipolar Disorders",14,0.848355271451772,"NA-NA"
"DRD3",4,0.775,1,"ENSG00000151577",1814,"X5D2G4; P35462; E9PCM4; A1A4V4; A8K8E4","G-protein coupled receptor","Schizophrenias; Bipolar Disorders; Depression; Childhood autism",12,0.858315065156497,"1999-2013"
"DRD4",4,0.775,0.9,"ENSG00000069696",1815,"P21917","G-protein coupled receptor","Attention Deficit Disorder with Hyperactivity; Schizophrenias; Depression; Bipolar Disorders",17,0.786801998355783,"2000-2022"
"NOS1",2,0.775,0.8,"ENSG00000089250",4842,"B3VK56; B4DG68; A0PJJ7; P29475","","Schizophrenias; Depression",2,0.849624060150376,"2007-2008"
"SYNGAP1",2,0.775,0.8,"ENSG00000197283",8831,"A0A1U9X8L0; B7ZCA0; Q96PV0","Enzyme modulator","Childhood autism; Schizophrenias",2,0.928571428571429,"2009-2010"
"TH",2,0.775,0.8,"ENSG00000180176",7054,"P78428; P07101","","Depression; Bipolar Disorders",7,0.816666666666667,"1999-2014"
"TPH2",4,0.775,0.9,"ENSG00000139287",121278,"Q8IWU9","","Depression; Schizophrenias; Childhood autism; Bipolar Disorders",13,0.808058044046286,"2005-2015"
"IL18",2,0.775,0.85,"ENSG00000150782",3606,"Q14116","","Depression; Schizophrenias",4,0.916666666666667,"2001-2012"
"SHANK2",2,0.775,0.85,"ENSG00000162105",22941,"A6NHU9; A0A590UJ45; Q9UPX8","","Childhood autism; Bipolar Disorders",4,0.9,"2010-2021"
"VEGFA",2,0.775,0.85,"ENSG00000112715",7422,"A2A2V4; P15692; A0A0Y0IMM4","Signaling","Depression; Bipolar Disorders",7,0.967391304347826,"2011-2015"
"MAPK3",3,0.766666666666667,0.8,"ENSG00000102882",5595,"P27361; Q9BWJ1; L7RXH5","Kinase","Schizophrenias; Childhood autism; Depression",8,0.926900584795322,"2005-2019"
"APP",3,0.766666666666667,0.85,"ENSG00000142192",351,"P05067; B4DJT9; A0A0A0MRG2; B4DGD0; A0A140VJC8; E9PG40","Enzyme modulator","Depression; Anxiety Disorder; Bipolar Disorders",6,0.851851851851852,"2001-2014"
"AVP",3,0.766666666666667,0.85,"ENSG00000101200",551,"P01185; X5DQP6","Signaling","Schizophrenias; Childhood autism; Bipolar Disorders",3,0.968253968253968,"1987-2013"
"MECP2",4,0.7625,1,"ENSG00000169057",4204,"Q59FJ6; A0A140VKC4; P51608; D3YJ43","Epigenetic regulator","Childhood autism; Anxiety Disorder; Schizophrenias; Attention Deficit Disorder with Hyperactivity",6,0.946022727272727,"2004-2012"
"GAD1",5,0.76,1,"ENSG00000128683",2571,"A0A0S2Z3V5; Q99259; Q8IVA8","Enzyme","Bipolar Disorders; Schizophrenias; Depression; Childhood autism; Anxiety Disorder",15,0.915595238095238,"NA-NA"
"ACHE",1,0.75,0.75,"ENSG00000087085",43,"P22303","Enzyme","Schizophrenias",1,1,"2015-2015"
"ARC",1,0.75,0.75,"ENSG00000198576",23237,"Q7LC44","","Schizophrenias",1,0.875,"2012-2012"
"ARHGAP18",1,0.75,0.75,"ENSG00000146376",93663,"Q8N392","Enzyme modulator","Schizophrenias",1,1,"2009-2009"
"ARX",1,0.75,0.75,"ENSG00000004848",170302,"Q96QS3","","Childhood autism",1,1,"2021-2021"
"BCL11A",1,0.75,0.75,"ENSG00000119866",53335,"Q9H165; D9YZV9; D9YZW0","Transcription factor","Schizophrenias",1,1,"2015-2015"
"CCK",1,0.75,0.75,"ENSG00000187094",885,"Q6FG82; P06307","","Schizophrenias",2,0.833333333333333,"2001-2008"
"CCL2",2,0.75,0.85,"ENSG00000108691",6347,"P13500","Signaling","Schizophrenias; Bipolar Disorders",1,0.923076923076923,"NA-NA"
"CDKL5",1,0.75,0.75,"ENSG00000008086",6792,"O76039","Kinase","Childhood autism",3,0.96,"2004-2021"
"CETN1",1,0.75,0.75,"ENSG00000177143",1068,"A0A140VJG3; Q12798","Calcium-binding protein","Schizophrenias",2,1,"2011-2014"
"CHD8",2,0.75,0.85,"ENSG00000100888",57680,"Q9HCK8","","Childhood autism; Anxiety Disorder",4,0.988636363636364,"2015-2022"
"CHRM1",1,0.75,0.75,"ENSG00000168539",1128,"Q53XZ3; P11229","G-protein coupled receptor","Schizophrenias",2,0.75,"2009-2013"
"CHRM4",1,0.75,0.75,"ENSG00000180720",1132,"P08173","G-protein coupled receptor","Schizophrenias",2,0.866666666666667,"2012-2013"
"CNP",1,0.75,0.75,"ENSG00000173786",1267,"P09543","Enzyme","Schizophrenias",2,0.875,"2008-2014"
"CNR1",5,0.75,0.85,"ENSG00000118432",1268,"P21554; S5TLS4; V5KA96","G-protein coupled receptor","Schizophrenias; Depression; Post-traumatic stress disorder; Anxiety Disorder; Bipolar Disorders",10,0.900554511278196,"2004-2021"
"CRH",4,0.75,0.95,"ENSG00000147571",1392,"A0A0S2Z478; P06850","Signaling","Depression; Anxiety Disorder; Bipolar Disorders; Schizophrenias",21,0.835,"1994-2015"
"CRHR1",3,0.75,0.85,"ENSG00000120088",1394,"P34998; G3CIS4; K9J956; B3TIK8; B3SXS2","G-protein coupled receptor","Anxiety Disorder; Depression; Bipolar Disorders",9,0.83625730994152,"1997-2015"
"CTNNB1",1,0.75,0.75,"ENSG00000168036",1499,"B4DGU4; P35222","","Schizophrenias",2,0.928571428571429,"2010-2013"
"DGCR2",1,0.75,0.75,"ENSG00000070413",9993,"Q8IWC8; P98153; Q5CZ70; B7Z3T5","","Schizophrenias",1,0.9,"2011-2011"
"DGCR8",1,0.75,0.75,"ENSG00000128191",54487,"Q8WYQ5","","Schizophrenias",3,1,"2013-2014"
"DLG1",1,0.75,0.75,"ENSG00000075711",1739,"A0A0C4DFT3; B4DF78; A0A590UJ08; Q12959","Receptor","Schizophrenias",3,1,"2002-2010"
"DLG2",2,0.75,0.85,"ENSG00000150672",1740,"Q15700; A0A994J7Q5; E9PIJ9; B7Z2T4; A0A994J587","Receptor","Schizophrenias; Bipolar Disorders",7,0.872222222222222,"2003-2018"
"DPP4",1,0.75,0.75,"ENSG00000197635",1803,"P27487","Enzyme","Depression",2,1,"2011-2015"
"DUSP1",1,0.75,0.75,"ENSG00000120129",1843,"P28562; B4DU40","","Depression",3,0.8,"2005-2013"
"EN2",2,0.75,0.85,"ENSG00000164778",2020,"P19622","Transcription factor","Childhood autism; Schizophrenias",5,0.815,"2004-2014"
"ENO2",1,0.75,0.75,"ENSG00000111674",2026,"Q6FHV6; P09104","Enzyme","Schizophrenias",1,1,"2008-2008"
"ESR2",1,0.75,0.75,"ENSG00000140009",2100,"A0A348FV93; Q92731; F1D8N3; Q7LCB3; Q0PTK2","Nuclear receptor","Schizophrenias",2,1,"2001-2012"
"FGF2",2,0.75,0.85,"ENSG00000138685",2247,"P09038","Signaling","Depression; Schizophrenias",2,1,"2001-2006"
"FOS",1,0.75,0.75,"ENSG00000170345",2353,"Q6FG41; P01100","Transcription factor","Anxiety Disorder",1,1,"2006-2006"
"FOXP1",2,0.75,0.8,"ENSG00000114861",27086,"Q8N2P0; Q8TEA2; A0A3B3IT66; Q548T7; Q9H334","","Childhood autism; Schizophrenias",2,0.982758620689655,"NA-NA"
"FTO",1,0.75,0.75,"ENSG00000140718",79068,"Q9C0B1; Q99770; A0A1B0GTC5; B3KU60","","Depression",1,0.833333333333333,"2013-2013"
"GAD2",2,0.75,0.85,"ENSG00000136750",2572,"Q05329; Q5VZ30","Enzyme","Schizophrenias; Bipolar Disorders",3,0.857142857142857,"2005-2008"
"GDNF",2,0.75,0.8,"ENSG00000168621",2668,"P39905; A0A0S2Z3V2; A0A0S2Z3T2","Signaling","Schizophrenias; Bipolar Disorders",3,0.894444444444444,"2004-2014"
"GH1",1,0.75,0.75,"ENSG00000259384",2688,"P01241; B1A4G7; B1A4G6","Signaling","Depression",2,0.84375,"1998-1999"
"GRIN1",2,0.75,0.75,"ENSG00000176884",2902,"Q5VSF9; Q05586; Q59GW0","Ion channel","Childhood autism; Bipolar Disorders",2,0.916666666666667,"2003-2021"
