"gene_symbol","geneid","ensemblid","geneNcbiType","uniprotids","protein_class_name","disease_name","diseaseType","diseaseUMLSCUI","score","yearInitial","yearFinal","numPMIDs","evidence_index"
"BDNF",627,"ENSG00000176697","protein-coding","P23560; A0A0E3SU01","Signaling","Bipolar Disorders","disease","C0005586",1,2004,2015,7,0.823529411764706
"BDNF",627,"ENSG00000176697","protein-coding","P23560; A0A0E3SU01","Signaling","Depression","disease","C0011570",1,2006,2015,7,0.903183023872679
"SLC6A4",6532,"ENSG00000108576","protein-coding","B2R7Y7; P31645","Transporter","Depression","disease","C0011570",1,2003,2015,9,0.890971039182283
"ERBB4",2066,"ENSG00000178568","protein-coding","Q15303","Kinase","Schizophrenias","disease","C0036341",1,2013,2014,4,0.983471074380165
"GRIN2B",2904,"ENSG00000273079","protein-coding","A0A8D9PHB2; Q13224","Ion channel","Schizophrenias","disease","C0036341",1,2008,2008,1,0.95049504950495
"COMT",1312,"ENSG00000093010","protein-coding","A0A140VJG8; P21964","Enzyme","Bipolar Disorders","disease","C0005586",1,2002,2015,6,0.916666666666667
"SLC6A4",6532,"ENSG00000108576","protein-coding","P31645; B2R7Y7","Transporter","Bipolar Disorders","disease","C0005586",1,2002,2015,7,0.803921568627451
"FMR1",2332,"ENSG00000102081","protein-coding","Q06787","Nucleic acid binding","Childhood autism","disease","C0004352",1,1998,2010,5,0.897260273972603
"SLC6A4",6532,"ENSG00000108576","protein-coding","P31645; B2R7Y7","Transporter","Disorders, Obsessive-Compulsive","disease","C0028768",1,2008,2008,1,0.782608695652174
"CNTNAP2",26047,"ENSG00000174469","protein-coding","Q9UHC6; B2RCH4; A0A090N7T7","","Schizophrenias","disease","C0036341",1,2011,2011,1,0.884615384615385
"GAD1",2571,"ENSG00000128683","protein-coding","A0A0S2Z3V5; Q99259; Q8IVA8","Enzyme","Bipolar Disorders","disease","C0005586",1,2005,2015,6,0.833333333333333
"NPY",4852,"ENSG00000122585","protein-coding","A4D158; P01303","Signaling","Depression","disease","C0011570",1,1998,2015,7,0.888888888888889
"IL6",3569,"ENSG00000136244","protein-coding","P05231; B4DVM1; Q75MH2; B5MC21; B4DNQ5","","Schizophrenias","disease","C0036341",0.95,1994,1994,1,0.912280701754386
"DTNBP1",84062,"ENSG00000047579","protein-coding","Q96EV8; D6RJC6; A0A087WYP9; A0A0S2Z5U8; A6NFV8","","Schizophrenias","disease","C0036341",0.95,2008,2008,1,0.92057761732852
"NPY",4852,"ENSG00000122585","protein-coding","A4D158; P01303","Signaling","Anxiety Disorder","disease","C0003469",0.95,2001,2001,1,0.912280701754386
"CACNA1C",775,"ENSG00000151067","protein-coding","Q59GU3; F5H522; Q5V9X9; E9PDI6; A0A804HIJ8; A0A804HI37; A0A804HKC4; A0A804HJB6; A0A0A0MR67; Q13936; A0A0A0MSA1","Ion channel","Bipolar Disorders","disease","C0005586",0.95,2008,2019,8,0.942028985507246
"DAO",1610,"ENSG00000110887","protein-coding","A0A024RBI1; P14920","","Schizophrenias","disease","C0036341",0.95,2008,2008,1,0.8375
"SHANK3",85358,"ENSG00000251322","protein-coding","","","Childhood autism","disease","C0004352",0.95,2008,2022,4,0.950819672131147
"SLC6A4",6532,"ENSG00000108576","protein-coding","P31645; B2R7Y7","Transporter","Anxiety Disorder","disease","C0003469",0.95,2008,2008,1,0.88
"IL10",3586,"ENSG00000136634","protein-coding","Q6FGW4; P22301","","Schizophrenias","disease","C0036341",0.95,2011,2014,4,0.842105263157895
"RELN",5649,"ENSG00000189056","protein-coding","P78509","","Bipolar Disorders","disease","C0005586",0.95,2000,2014,8,0.972222222222222
"GRIN2C",2905,"ENSG00000161509","protein-coding","Q8IW23; A0A8D9PH81; Q14957; H0Y2V8; O15398","Ion channel","Schizophrenias","disease","C0036341",0.95,2008,2014,3,0.954887218045113
"OXT",5020,"ENSG00000101405","protein-coding","X5D7M6; P01178","Signaling","Schizophrenias","disease","C0036341",0.95,2010,2013,5,0.952830188679245
"GRM5",2915,"ENSG00000168959","protein-coding","P41594; A8K5P7","G-protein coupled receptor","Schizophrenias","disease","C0036341",0.95,2013,2014,3,0.925925925925926
"HTR2C",3358,"ENSG00000147246","protein-coding","P28335; K9J958","G-protein coupled receptor","Schizophrenias","disease","C0036341",0.95,2011,2013,4,0.839285714285714
"OXT",5020,"ENSG00000101405","protein-coding","P01178; X5D7M6","Signaling","Anxiety Disorder","disease","C0003469",0.95,2009,2009,1,0.862903225806452
"BDNF",627,"ENSG00000176697","protein-coding","P23560; A0A0E3SU01","Signaling","Schizophrenias","disease","C0036341",0.95,2003,2008,4,0.845102505694761
"RELN",5649,"ENSG00000189056","protein-coding","P78509","","Schizophrenias","disease","C0036341",0.95,2000,2009,4,0.920731707317073
"NR3C1",2908,"ENSG00000113580","protein-coding","E5KQF5; F1D8N4; E5KQF6; P04150","Nuclear receptor","Depression","disease","C0011570",0.95,2004,2015,5,0.915094339622642
"CHI3L1",1116,"ENSG00000133048","protein-coding","P36222","","Schizophrenias","disease","C0036341",0.95,NA,NA,0,0.75
"CRH",1392,"ENSG00000147571","protein-coding","A0A0S2Z478; P06850","Signaling","Depression","disease","C0011570",0.95,2002,2015,7,0.9
"AKT1",207,"ENSG00000142208","protein-coding","P31749; B0LPE5; B3KVH4","Kinase","Schizophrenias","disease","C0036341",0.95,2004,2011,4,0.841121495327103
"OXT",5020,"ENSG00000101405","protein-coding","P01178; X5D7M6","Signaling","Childhood autism","disease","C0004352",0.95,2004,2008,2,0.9140625
"OPRM1",4988,"ENSG00000112038","protein-coding","G8XRH4; L0E130; B8K2Q5; G8XRH5; P35372","G-protein coupled receptor","Schizophrenias","disease","C0036341",0.95,2010,2013,3,0.769230769230769
"TNF",7124,"ENSG00000232810","protein-coding","P01375; Q5STB3","Signaling","Depression","disease","C0011570",0.95,2013,2015,5,0.865671641791045
"GABRR1",2569,"ENSG00000146276","protein-coding","P24046","Ion channel","Schizophrenias","disease","C0036341",0.95,2010,2010,1,0.932432432432432
"S100B",6285,"ENSG00000160307","protein-coding","P04271; A0A0S2Z4C5","Calcium-binding protein","Schizophrenias","disease","C0036341",0.95,2010,2012,3,0.946428571428571
"ANK3",288,"ENSG00000151150","protein-coding","Q8NAK2; Q12955","","Bipolar Disorders","disease","C0005586",0.95,2008,2019,8,0.938271604938272
"GRIN2A",2903,"ENSG00000183454","protein-coding","Q547U9; A0A890YTL4; Q12879; Q59EW6","Ion channel","Bipolar Disorders","disease","C0005586",0.95,2007,2019,5,0.954545454545455
"MTHFR",4524,"ENSG00000177000","protein-coding","P42898; Q59GJ6; Q8IU67","","Schizophrenias","disease","C0036341",0.95,2006,2009,4,0.75
"CNTNAP2",26047,"ENSG00000174469","protein-coding","A0A090N7T7; Q9UHC6; B2RCH4","","Childhood autism","disease","C0004352",0.9,2008,2011,4,0.864864864864865
"SYNE1",23345,"ENSG00000131018","protein-coding","A0A0C4DG40; B4E3R1; F8WAI0; B7Z9Y6; Q8NF91","","Bipolar Disorders","disease","C0005586",0.9,2013,2014,2,1
"BRD1",23774,"ENSG00000100425","protein-coding","Q59G93; O95696","","Schizophrenias","disease","C0036341",0.9,2006,2012,4,0.857142857142857
"SYN2",6854,"ENSG00000157152","protein-coding","B3KRB3; Q86VA8; Q92777; Q59GM1","Cellular structure","Schizophrenias","disease","C0036341",0.9,NA,NA,0,0.9
"FOXP2",93986,"ENSG00000128573","protein-coding","Q8N6B6; Q8N6B5; B7ZLK5; O15409; X5D2H2","","Schizophrenias","disease","C0036341",0.9,2010,2014,4,0.823529411764706
"GRIN2A",2903,"ENSG00000183454","protein-coding","Q12879; A0A890YTL4; Q547U9; Q59EW6","Ion channel","Schizophrenias","disease","C0036341",0.9,2008,2015,3,0.948275862068966
"ANK3",288,"ENSG00000151150","protein-coding","Q8NAK2; Q12955","","Schizophrenias","disease","C0036341",0.9,2014,2014,3,0.9375
"NOTCH4",4855,"ENSG00000204301","protein-coding","Q99466; A0A1U9X983","","Schizophrenias","disease","C0036341",0.9,2013,2015,3,0.76
"CSMD1",64478,"ENSG00000183117","protein-coding","Q96PZ7; Q59FF8","","Schizophrenias","disease","C0036341",0.9,2011,2018,7,0.95
"SETD1A",9739,"ENSG00000099381","protein-coding","O15047","","Schizophrenias","disease","C0036341",0.9,2014,2016,2,0.96
"NRXN1",9378,"ENSG00000179915","protein-coding","A0A0D9SEM5; A0A1D5RMU6; H7BYC7; E7EQN4; E7ERL8; Q9ULB1; H0Y568; P58400; A0A0D9SEQ7","","Schizophrenias","disease","C0036341",0.9,2011,2018,5,0.973333333333333
"BDNF",627,"ENSG00000176697","protein-coding","P23560; A0A0E3SU01","Signaling","Disorders, Obsessive-Compulsive","disease","C0028768",0.9,NA,NA,0,0.844444444444444
"GABBR2",9568,"ENSG00000136928","protein-coding","H9NIL8; O75899","G-protein coupled receptor","Childhood autism","disease","C0004352",0.9,2009,2009,1,0.972972972972973
"HTR2A",3356,"ENSG00000102468","protein-coding","P28223","G-protein coupled receptor","Disorders, Obsessive-Compulsive","disease","C0028768",0.9,2009,2009,1,0.8
"BDNF",627,"ENSG00000176697","protein-coding","P23560; A0A0E3SU01","Signaling","Post-traumatic stress disorder","disease","C0038436",0.9,NA,NA,0,0.920454545454545
"IL1B",3553,"ENSG00000125538","protein-coding","P01584","","Depression","disease","C0011570",0.9,2014,2015,4,0.930232558139535
"IGF1",3479,"ENSG00000017427","protein-coding","Q5U743; Q59GC5; P05019; Q13429","","Depression","disease","C0011570",0.9,2011,2015,5,0.863636363636364
"TPH2",121278,"ENSG00000139287","protein-coding","Q8IWU9","","Depression","disease","C0011570",0.9,2007,2015,6,0.978723404255319
"SLC6A2",6530,"ENSG00000103546","protein-coding","P23975","Transporter","Depression","disease","C0011570",0.9,2013,2015,4,0.892857142857143
"NRG1",3084,"ENSG00000157168","protein-coding","Q7RTW5; A5YAK6; A0A494C1F5; A0A494C0K4; A6MW55; E5RHP6; Q7RTW3; A0A024QY88; B7Z1D7; A0A494C0Q4; A5YAK8; B0FYA8; A0A494C1B5; A0A494C114; Q6PK61; A0A494C0L9; A0A494C1F8; B0FYA9; B0FWZ3; B0FYA7; B7Z1E3; A6MW54; A6MW56; Q02297; E3SFM9","Signaling","Schizophrenias","disease","C0036341",0.9,2002,2011,7,0.928125
"POMC",5443,"ENSG00000115138","protein-coding","P01189","","Depression","disease","C0011570",0.9,2003,2015,6,0.975
"IL1RN",3557,"ENSG00000136689","protein-coding","P18510","","Depression","disease","C0011570",0.9,NA,NA,0,0.692307692307692
"DAOA",267012,"ENSG00000182346","protein-coding","A2T115; P59103","","Schizophrenias","disease","C0036341",0.9,NA,NA,0,0.897435897435897
"SLC6A3",6531,"ENSG00000142319","protein-coding","Q01959","Transporter","Schizophrenias","disease","C0036341",0.9,2006,2006,1,0.822784810126582
"SOD1",6647,"ENSG00000142168","protein-coding","V9HWC9; P00441","Enzyme","Depression","disease","C0011570",0.9,1999,2012,3,1
"KMO",8564,"ENSG00000117009","protein-coding","A8K693; O15229","","Schizophrenias","disease","C0036341",0.9,2011,2014,4,0.846153846153846
"PPARA",5465,"ENSG00000186951","protein-coding","F1D8S4; Q07869","Nuclear receptor","Schizophrenias","disease","C0036341",0.9,2013,2015,2,0.904761904761905
"NTRK2",4915,"ENSG00000148053","protein-coding","A0A8I5KR47; Q5VWE5; Q548C2; Q16620","Kinase","Schizophrenias","disease","C0036341",0.9,2013,2013,1,0.818181818181818
"DRD4",1815,"ENSG00000069696","protein-coding","P21917","G-protein coupled receptor","Attention Deficit Disorder with Hyperactivity","disease","C1263846",0.9,2000,2022,6,0.896414342629482
"NGF",4803,"ENSG00000134259","protein-coding","A0A346FYQ1; P01138","Signaling","Depression","disease","C0011570",0.9,2012,2012,1,0.9
"CACNA1C",775,"ENSG00000151067","protein-coding","A0A804HIJ8; A0A804HI37; A0A804HJB6; Q59GU3; Q5V9X9; E9PDI6; A0A0A0MR67; A0A804HKC4; Q13936; F5H522; A0A0A0MSA1","Ion channel","Schizophrenias","disease","C0036341",0.9,2014,2014,4,0.956521739130435
"REN",5972,"ENSG00000143839","protein-coding","P00797","Enzyme","Depression","disease","C0011570",0.9,2005,2012,5,1
"S100B",6285,"ENSG00000160307","protein-coding","A0A0S2Z4C5; P04271","Calcium-binding protein","Depression","disease","C0011570",0.9,1996,2010,5,0.827586206896552
"INS",3630,"ENSG00000254647","protein-coding","P01308; I3WAC9","","Bipolar Disorders","disease","C0005586",0.9,1970,2015,6,1
"COMT",1312,"ENSG00000093010","protein-coding","A0A140VJG8; P21964","Enzyme","Disorders, Obsessive-Compulsive","disease","C0028768",0.9,NA,NA,0,0.878787878787879
"CREB1",1385,"ENSG00000118260","protein-coding","B7Z5C6; Q5U0J5; Q53X93; P16220","","Depression","disease","C0011570",0.9,2011,2013,5,0.92
"RELN",5649,"ENSG00000189056","protein-coding","P78509","","Childhood autism","disease","C0004352",0.9,2001,2021,4,0.82258064516129
"GSK3B",2932,"ENSG00000082701","protein-coding","Q6FI27; P49841","Kinase","Bipolar Disorders","disease","C0005586",0.9,2010,2014,5,0.865853658536585
"HSPA1A",3303,"ENSG00000204389","protein-coding","A8K5I0; B3KTT5; P0DMV9; P0DMV8","","Schizophrenias","disease","C0036341",0.85,2007,2014,4,1
"KCNN3",3782,"ENSG00000143603","protein-coding","Q9UGI6; A0A087WYJ0","Ion channel","Schizophrenias","disease","C0036341",0.85,2003,2006,2,0.7
"CLDN5",7122,"ENSG00000184113","protein-coding","D3DX19; O00501","Cell-cell junction","Schizophrenias","disease","C0036341",0.85,2004,2005,2,0.909090909090909
"SHANK3",85358,"ENSG00000251322","protein-coding","","","Schizophrenias","disease","C0036341",0.85,NA,NA,0,0.928571428571429
"DLG2",1740,"ENSG00000150672","protein-coding","Q15700; A0A994J7Q5; E9PIJ9; B7Z2T4; A0A994J587","Receptor","Schizophrenias","disease","C0036341",0.85,2003,2018,5,0.944444444444444
"NLGN3",54413,"ENSG00000196338","protein-coding","X5D7L6; X5D2P6; Q6MZK0; B7Z3P8; Q9NZ94; X5DNV3; A0A8I5KSB7; Q4G160; A0A8I5QJH8","","Childhood autism","disease","C0004352",0.85,2003,2008,2,1
"SRR",63826,"ENSG00000167720","protein-coding","Q3ZK31; Q9GZT4; Q8N3F4","Enzyme","Schizophrenias","disease","C0036341",0.85,2007,2013,3,0.861111111111111
"PPP3CC",5533,"ENSG00000120910","protein-coding","P48454","","Schizophrenias","disease","C0036341",0.85,2007,2014,4,0.818181818181818
"SHANK2",22941,"ENSG00000162105","protein-coding","A6NHU9; A0A590UJ45; Q9UPX8","","Childhood autism","disease","C0004352",0.85,2010,2021,3,1
"NTRK1",4914,"ENSG00000198400","protein-coding","P04629; X5DR71","Kinase","Schizophrenias","disease","C0036341",0.85,2004,2004,1,0.916666666666667
"NPAS3",64067,"ENSG00000151322","protein-coding","Q8IXF0; X5D988; X5D2Q4","Transcription factor","Schizophrenias","disease","C0036341",0.85,2009,2018,6,0.909090909090909
"CHL1",10752,"ENSG00000134121","protein-coding","A0A087X0M8; O00533","","Schizophrenias","disease","C0036341",0.85,2002,2005,2,0.928571428571429
"FZD3",7976,"ENSG00000104290","protein-coding","Q9NPG1","G-protein coupled receptor","Schizophrenias","disease","C0036341",0.85,2004,2011,2,0.714285714285714
"SCN2A",6326,"ENSG00000136531","protein-coding","Q99250","Ion channel","Childhood autism","disease","C0004352",0.85,2003,2022,6,0.948717948717949
"NCAN",1463,"ENSG00000130287","protein-coding","Q4LE67; O14594","Extracellular structure","Bipolar Disorders","disease","C0005586",0.85,2012,2019,6,0.947368421052632
"DISC1",27185,"ENSG00000162946","protein-coding","C4P0A4; C4P0D0; C4P0C8; C4P0C4; C4P098; Q9NRI5; C4P0D2; C4P094; C4P0D3; C4P0D1; C4P0A5; C4P096","","Bipolar Disorders","disease","C0005586",0.85,2014,2015,5,0.987654320987654
"GRIN3A",116443,"ENSG00000198785","protein-coding","Q8TCU5","Ion channel","Schizophrenias","disease","C0036341",0.85,2004,2013,3,0.963917525773196
"CNR1",1268,"ENSG00000118432","protein-coding","P21554; S5TLS4; V5KA96","G-protein coupled receptor","Schizophrenias","disease","C0036341",0.85,2011,2011,1,0.894736842105263
"MAGI2",9863,"ENSG00000187391","protein-coding","B7Z4H4; Q86UL8","","Schizophrenias","disease","C0036341",0.85,2012,2015,3,0.916666666666667
"DRD2",1813,"ENSG00000149295","protein-coding","P14416","G-protein coupled receptor","Anxiety Disorder","disease","C0003469",0.85,2008,2010,2,0.925
"HTR7",3363,"ENSG00000148680","protein-coding","P34969","G-protein coupled receptor","Depression","disease","C0011570",0.85,2008,2013,6,0.952380952380952
"GSK3B",2932,"ENSG00000082701","protein-coding","P49841; Q6FI27","Kinase","Schizophrenias","disease","C0036341",0.85,2004,2019,2,0.808219178082192
"GRM8",2918,"ENSG00000179603","protein-coding","O00222","G-protein coupled receptor","Schizophrenias","disease","C0036341",0.85,2004,2004,1,0.833333333333333
"UBE3A",7337,"ENSG00000114062","protein-coding","Q05086; Q9H2G0","","Childhood autism","disease","C0004352",0.85,2001,2021,4,0.94
"CHD8",57680,"ENSG00000100888","protein-coding","Q9HCK8","","Childhood autism","disease","C0004352",0.85,2015,2022,3,0.977272727272727
"SLC6A4",6532,"ENSG00000108576","protein-coding","P31645; B2R7Y7","Transporter","Childhood autism","disease","C0004352",0.85,1997,2010,5,0.788235294117647
"MET",4233,"ENSG00000105976","protein-coding","E6Y365; B4DLF5; P08581","Kinase","Childhood autism","disease","C0004352",0.85,2006,2011,2,0.935483870967742
"SLC25A12",8604,"ENSG00000115840","protein-coding","O75746","Transporter","Childhood autism","disease","C0004352",0.85,2004,2008,2,0.823529411764706
"GRIN2B",2904,"ENSG00000273079","protein-coding","A0A8D9PHB2; Q13224","Ion channel","Bipolar Disorders","disease","C0005586",0.85,2007,2013,4,0.909090909090909
"FEZ1",9638,"ENSG00000149557","protein-coding","Q99689","","Schizophrenias","disease","C0036341",0.85,2008,2011,2,0.875
"AKT1",207,"ENSG00000142208","protein-coding","B3KVH4; B0LPE5; P31749","Kinase","Bipolar Disorders","disease","C0005586",0.85,2003,2012,5,0.9375
"KCNK2",3776,"ENSG00000082482","protein-coding","Q6ZW95; O95069; U3N6F0; U3N834","Ion channel","Depression","disease","C0011570",0.85,2008,2011,6,1
"DRD2",1813,"ENSG00000149295","protein-coding","P14416","G-protein coupled receptor","Depression","disease","C0011570",0.85,2010,2014,5,0.878787878787879
"TPH1",7166,"ENSG00000129167","protein-coding","P17752","","Depression","disease","C0011570",0.85,2009,2014,5,1
"TCF4",6925,"ENSG00000196628","protein-coding","A0A1B0GWD5; P15884; H3BPJ7; E9PH57; B3KVA4; A0A1B0GW91; H3BTP3","Transcription factor","Schizophrenias","disease","C0036341",0.85,2013,2014,4,0.947916666666667
"MAOA",4128,"ENSG00000189221","protein-coding","Q53YE7; P21397; Q49A63","","Childhood autism","disease","C0004352",0.85,2003,2021,4,0.95
"FOXP2",93986,"ENSG00000128573","protein-coding","X5D2H2; B7ZLK5; O15409; Q8N6B6; Q8N6B5","","Childhood autism","disease","C0004352",0.85,2004,2006,2,0.65
"EN2",2020,"ENSG00000164778","protein-coding","P19622","Transcription factor","Childhood autism","disease","C0004352",0.85,2004,2010,4,0.88
"DISC1",27185,"ENSG00000162946","protein-coding","C4P0A4; C4P0D0; C4P0C8; C4P0C4; C4P098; Q9NRI5; C4P0D2; C4P094; C4P0D3; C4P0D1; C4P0A5; C4P096","","Childhood autism","disease","C0004352",0.85,2008,2010,2,1
"SLC18A1",6570,"ENSG00000036565","protein-coding","Q96GL6; P54219","Transporter","Schizophrenias","disease","C0036341",0.85,2008,2008,1,0.9
"NCAM1",4684,"ENSG00000149294","protein-coding","A0A087WWD4; P13591","","Schizophrenias","disease","C0036341",0.85,2011,2015,3,0.9
"CYFIP1",23191,"ENSG00000273749","protein-coding","Q7L576","Enzyme modulator","Schizophrenias","disease","C0036341",0.85,2014,2014,1,1
"GAD2",2572,"ENSG00000136750","protein-coding","Q05329; Q5VZ30","Enzyme","Schizophrenias","disease","C0036341",0.85,2005,2008,2,0.857142857142857
"GAD1",2571,"ENSG00000128683","protein-coding","Q99259; A0A0S2Z3V5; Q8IVA8","Enzyme","Schizophrenias","disease","C0036341",0.85,2005,2009,4,0.8875
"PTEN",5728,"ENSG00000171862","protein-coding","P60484; F6KD01","Enzyme","Childhood autism","disease","C0004352",0.85,2001,2021,5,0.957746478873239
"NRG1",3084,"ENSG00000157168","protein-coding","B7Z1D7; A0A024QY88; A0A494C0Q4; A0A494C1F8; B0FYA8; A5YAK6; B0FYA9; E3SFM9; B0FWZ3; B0FYA7; Q7RTW5; A6MW56; A0A494C0K4; E5RHP6; Q7RTW3; B7Z1E3; A0A494C1F5; Q6PK61; A0A494C114; A5YAK8; Q02297; A6MW54; A6MW55; A0A494C0L9; A0A494C1B5","Signaling","Bipolar Disorders","disease","C0005586",0.85,2013,2014,5,0.888888888888889
"IMPA2",3613,"ENSG00000141401","protein-coding","O14732","Enzyme","Bipolar Disorders","disease","C0005586",0.85,2007,2010,4,0.6875
"DTNBP1",84062,"ENSG00000047579","protein-coding","A6NFV8; A0A087WYP9; Q96EV8; A0A0S2Z5U8; D6RJC6","","Bipolar Disorders","disease","C0005586",0.85,2008,2011,5,1
"FGF2",2247,"ENSG00000138685","protein-coding","P09038","Signaling","Depression","disease","C0011570",0.85,2006,2006,1,1
"IL18",3606,"ENSG00000150782","protein-coding","Q14116","","Depression","disease","C0011570",0.85,2001,2012,3,0.904761904761905
"CYP2D6",1565,"ENSG00000100197","protein-coding","C1ID52; P10635; Q5Y7H2","","Schizophrenias","disease","C0036341",0.85,2010,2011,2,0.84375
"SLC6A3",6531,"ENSG00000142319","protein-coding","Q01959","Transporter","Depression","disease","C0011570",0.85,2009,2014,5,0.911764705882353
"AVP",551,"ENSG00000101200","protein-coding","P01185; X5DQP6","Signaling","Schizophrenias","disease","C0036341",0.85,1987,1987,1,0.904761904761905
"MIR30E",407034,"ENSG00000198974","ncRNA","","","Schizophrenias","disease","C0036341",0.85,2010,2010,1,1
"HCRT",3060,"ENSG00000161610","protein-coding","O43612","","Depression","disease","C0011570",0.85,2013,2014,5,0.888888888888889
"OXTR",5021,"ENSG00000180914","protein-coding","P30559; B2R9L7","G-protein coupled receptor","Childhood autism","disease","C0004352",0.85,2004,2010,6,0.872727272727273
"PVALB",5816,"ENSG00000100362","protein-coding","P20472","Calcium-binding protein","Schizophrenias","disease","C0036341",0.85,2004,2004,1,0.910112359550562
"NGFR",4804,"ENSG00000064300","protein-coding","P08138","Receptor","Depression","disease","C0011570",0.85,2005,2005,1,1
"FKBP5",2289,"ENSG00000096060","protein-coding","Q13451; Q2TA84","Enzyme","Depression","disease","C0011570",0.85,2013,2014,3,0.861538461538462
"BDNF",627,"ENSG00000176697","protein-coding","P23560; A0A0E3SU01","Signaling","Childhood autism","disease","C0004352",0.85,2007,2010,2,0.910714285714286
"MAOA",4128,"ENSG00000189221","protein-coding","Q49A63; Q53YE7; P21397","","Depression","disease","C0011570",0.85,2013,2015,5,0.878048780487805
"IFNG",3458,"ENSG00000111537","protein-coding","A0A7R8GUN6; P01579","","Depression","disease","C0011570",0.85,2014,2014,1,0.958333333333333
"OXTR",5021,"ENSG00000180914","protein-coding","P30559; B2R9L7","G-protein coupled receptor","Depression","disease","C0011570",0.85,2009,2014,5,0.771428571428571
"IL1B",3553,"ENSG00000125538","protein-coding","P01584","","Schizophrenias","disease","C0036341",0.85,2008,2008,1,0.840579710144927
"MMP9",4318,"ENSG00000100985","protein-coding","P14780","Enzyme","Schizophrenias","disease","C0036341",0.85,2009,2011,2,0.868421052631579
"TNF",7124,"ENSG00000232810","protein-coding","Q5STB3; P01375","Signaling","Bipolar Disorders","disease","C0005586",0.85,2007,2015,5,0.944444444444444
"OXTR",5021,"ENSG00000180914","protein-coding","P30559; B2R9L7","G-protein coupled receptor","Schizophrenias","disease","C0036341",0.85,2010,2010,1,0.952380952380952
"IL4",3565,"ENSG00000113520","protein-coding","Q5FC01; P05112; D4HNR6","","Schizophrenias","disease","C0036341",0.85,2006,2011,2,0.833333333333333
"CRHR1",1394,"ENSG00000120088","protein-coding","P34998; G3CIS4; K9J956; B3TIK8; B3SXS2","G-protein coupled receptor","Anxiety Disorder","disease","C0003469",0.85,1997,2012,2,0.916666666666667
"ABAT",18,"ENSG00000183044","protein-coding","X5D8S1; P80404","Enzyme","Childhood autism","disease","C0004352",0.85,2005,2005,1,0.973684210526316
"SLC6A4",6532,"ENSG00000108576","protein-coding","P31645; B2R7Y7","Transporter","Schizophrenias","disease","C0036341",0.85,2008,2008,1,0.712765957446808
"IL6",3569,"ENSG00000136244","protein-coding","P05231; B4DNQ5; B5MC21; B4DVM1; Q75MH2","","Bipolar Disorders","disease","C0005586",0.85,2013,2015,2,0.93939393939394
"GRM7",2917,"ENSG00000196277","protein-coding","Q59G95; B2R693; B9EGG9; Q14831","G-protein coupled receptor","Schizophrenias","disease","C0036341",0.85,2008,2015,4,0.851851851851852
